architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
Wonder,Single-slot,ISA 8-bit,,,,,MDA/CGA,,ATI,DRAM,Color Emulation Card,0.0,,0,0,1986-08-04,0,0,,0,0,0,0.0
Wonder,Single-slot,ISA 8-bit,,,,,MDA/CGA,,ATI,DRAM,Graphics Solution,0.0,,0,0,1986-09-22,0,0,,0,0,0,0.0
Wonder,Single-slot,ISA 8-bit,,,,NEC,EGA,,ATI,DRAM,EGA Wonder 800+,0.025,,0,0,1988-01-01,1,0,,0,0,0,0.0
Wonder,Single-slot,ISA 8-bit,,,,,MDA/CGA,,ATI,DRAM,Graphics Solution Plus,0.0,,0,0,1987-03-23,0,0,,0,0,0,0.0
Wonder,Single-slot,ISA 8-bit,,1x VGA,,,VGA,,ATI,DRAM,VGA Improved Performance,0.01,,0,0,1987-09-28,1,0,,0,0,0,0.0
Wonder,Single-slot,ISA 8-bit,,,,,EGA,,ATI,DRAM,EGA Wonder 480,0.01,,0,0,1988-12-26,1,0,,0,0,0,0.0
Wonder,Single-slot,ISA 16-bit,,1x VGA,,NEC,VGA,,ATI,DRAM,VGA Wonder+,0.01,,0,0,1990-11-01,1,0,,0,0,0,0.0
Mach,Single-slot,ISA 16-bit,,,,NEC,Mach 8,,ATI,VRAM,8514-Ultra,0.01,None,0,0,1992-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,ISA 16-bit,,1x VGA,,NEC,Mach 8,,ATI,VRAM,Graphics Ultra,0.01,None,0,0,1992-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,ISA 16-bit,,1x VGA,,,Mach 32,,ATI,DRAM,Graphics Ultra Pro ISA,0.01,,0,0,1992-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,ISA 16-bit,,1x VGA,,NEC,Mach 8,,ATI,DRAM,Graphics Vantage,0.01,,0,0,1992-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 32,,ATI,DRAM,Graphics Wonder PCI,0.01,,0,0,1992-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,VLB,,1x VGA,,,Mach 32,,ATI,DRAM,Graphics Wonder VLB,0.01,,0,0,1992-01-01,1,0,,0,0,0,0.0
Wonder,Single-slot,ISA 16-bit,,1x VGA,,NEC,VGA,,ATI,DRAM,VGA Wonder XL24,0.01,,0,0,1992-03-16,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 32,,ATI,DRAM,Graphics Ultra Pro PCI,0.066,,0,0,1993-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,VLB,,1x VGA,,,Mach 32,,ATI,VRAM,Graphics Ultra Pro VLB,0.01,,0,0,1993-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,VLB,,1x VGA,,,Mach 32,,ATI,VRAM,Graphics Ultra XLR VLB,0.01,,0,0,1993-01-01,1,0,,0,0,0,0.0
,,,,,,Sony,Console GPU(Sony),,Sony,VRAM,Playstation GPU 600nm,0.053,,0,0,1994-12-03,1,0,,0,0,3,0.159
,Single-slot,PCI,,1x VGA,,ST,NV1,,NVIDIA,EDO,NV1,0.075,None,0,0,1995-09-30,1,0,,0,0,1,0.075
,Single-slot,PCI,,"1x VGA, 1x DB13W3",,ST,NV1,,NVIDIA,FPM,STG-2000,0.075,None,0,0,1995-09-30,1,0,,0,0,1,0.075
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,VRAM,Graphics Pro Turbo,0.04,,0,0,1995-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,EDO,Graphics Xpression,0.04,,0,0,1995-11-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,DRAM,Graphics Xpression ISA,0.04,,0,0,1995-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,EDO,Video Xpression+,0.062,,0,0,1996-05-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,EDO,WinBoost,0.04,,0,0,1995-11-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,EDO,WinCharger,0.04,,0,0,1995-11-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Mach 64,,ATI,VRAM,WinTurbo,0.04,,0,0,1995-01-01,1,0,,0,0,0,0.0
Mach,Single-slot,PCI,,1x VGA,,,Rage,,ATI,EDO,3D Rage,0.044,,0,0,1996-04-01,1,0,,0,0,1,0.044
Mach,Single-slot,PCI,,1x VGA,,SGS Microelettronica,Rage 2,,ATI,SDR,3D Rage II,0.06,,0,0,1996-09-05,1,0,,0,0,1,0.06
Mach,Single-slot,PCI,,"1x VGA, 1x S-Video",,UMC,Rage 2,,ATI,SDR,3D Rage II+ DVD,0.06,,0,0,1996-09-01,1,0,,0,0,1,0.06
Mach,Single-slot,PCI,,1x VGA,,UMC,All-In-Wonder(3D Rage),,ATI,SDR,All-In-Wonder 3D Rage II+ DVD,0.06,,0,0,1996-09-01,1,0,,0,0,1,0.06
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo1,,3dfx,EDO,Voodoo Graphics 4 MB,0.05,None,0,0,1996-10-07,1,0,,0,0,1,0.05
,Single-slot,AGP 2x,,"1x VGA, 1x DB13W3",,ST,Riva,,NVIDIA,SDR,Riva 128,0.1,None,0,0,1997-04-01,1,0,,0,0,1,0.1
,Single-slot,PCI,,"1x VGA, 1x DB13W3",,ST,Riva,,NVIDIA,SDR,Riva 128 PCI,0.1,None,0,0,1997-04-01,1,0,,0,0,1,0.1
